ID,知识点,别名,年级,出处
KP-001,丰富的图形世界,立体图形/展开图,七上,七上 §1
KP-002,有理数运算,正负数/乘方/混合运算,七上,七上 §2
KP-003,整式及其加减,代数式/合并同类项/去括号,七上,七上 §3
KP-004,基本平面图形,线段/射线/直线/角/多边形和圆初步,七上,七上 §4
KP-005,一元一次方程,解方程/移项,七上,七上 §5
KP-006,数据的收集与整理,数据收集/数据表示,七上,七上 §6
KP-007,整式的乘除,幂运算/乘法公式/平方差/完全平方,七下,七下 §1
KP-008,相交线与平行线,对顶角/同位角/内错角/平行线性质,七下,七下 §2
KP-009,概率初步,感受可能性/频率的稳定性/等可能事件,七下,七下 §3
KP-010,三角形,认识三角形/内角和(事实)/三边关系,七下,七下 §4
KP-011,全等三角形,SSS/SAS/ASA/AAS/全等测距离,七下,七下 §4.2-4.3
KP-012,图形的轴对称,等腰三角形/三线合一/垂直平分线的性质,七下,七下 §5
KP-013,变量之间的关系,表格/关系式/图象表示变量,七下,七下 §6
KP-014,勾股定理,直角三角形/a²+b²=c²/逆定理,八上,八上 §1
KP-015,实数,无理数/平方根/立方根/二次根式,八上,八上 §2
KP-016,位置与坐标,平面直角坐标系/象限,八上,八上 §3
KP-017,一次函数,y=kx+b/图象/应用,八上,八上 §4
KP-018,二元一次方程组,代入消元/加减消元,八上,八上 §5
KP-019,数据的分析,平均数/方差/中位数/箱线图,八上,八上 §6
KP-020,证明,定义与命题/平行线的证明,八上,八上 §7
KP-021,三角形的证明,内角和定理/等腰三角形严格证明/直角三角形/HL,八下,八下 §1
KP-022,线段的垂直平分线,判定定理/尺规作图,八下,八下 §1.4
KP-023,角平分线,性质与判定,八下,八下 §1.5
KP-024,不等式与不等式组,不等式性质/解集/一元一次不等式,八下,八下 §2
KP-025,图形的平移与旋转,平移/旋转/图案设计,八下,八下 §3
KP-026,因式分解,提公因式/公式法,八下,八下 §4
KP-027,分式与分式方程,分式性质/运算/增根,八下,八下 §5
KP-028,平行四边形,性质/判定/三角形中位线,八下,八下 §6
KP-029,特殊平行四边形,菱形/矩形/正方形,九上,九上 §1
KP-030,一元二次方程,配方法/公式法/因式分解法,九上,九上 §2
KP-031,判别式,Δ=b²-4ac,九上,九上 §2.3
KP-032,韦达定理,根与系数关系(选学*),九上,九上 §2.5
KP-033,概率的进一步认识,树状图/表格/频率估计,九上,九上 §3
KP-034,图形的相似,成比例线段/相似三角形/位似,九上,九上 §4
KP-035,投影与视图,三视图/投影,九上,九上 §5
KP-036,反比例函数,y=k/x/图象与性质,九上,九上 §6
KP-037,锐角三角函数,sin/cos/tan/特殊角/解直角三角形,九下,九下 §1
KP-038,二次函数,抛物线/顶点式/最值/与一元二次方程,九下,九下 §2
KP-039,圆,垂径定理*/圆周角/切线/弧长扇形,九下,九下 §3
